author_id,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,retweet
ahmansour91061,#RussianGP pit stops #Seb5 #redseason http://t.co/K01OV3VQim,Unknown,Croatian,2015-10-12 13:15:00,2015-11-04 00:52:00,3,0,3,R,1
ahmansour91061,"12/10/03 - #JapaneseGP Thanks to a single point for 8th place, M. Schumacher takes 4th title in a row for Ferrari http://t.co/CTmUswE2ez",Unknown,English,2015-10-12 13:15:00,2015-10-12 13:15:00,3,0,2,R,1
ahmansour91061,Wie verändern Flüchtlinge die Außenpolitik? „Viele werden ‚Problemlösung sofort‘ fordern“   http://t.co/qSvPGjWkkw http://t.co/iHaY2JhWoZ,Iraq,German,2015-10-15 09:31:00,2015-10-15 09:32:00,6,4,4,R,1
ahmansour91061,USA und Russland nähern sich Vereinbarung zu Luftangriffen in Syrien an http://t.co/bFz0kdLWTE,Iraq,German,2015-10-15 09:37:00,2015-10-15 09:37:00,6,4,5,R,1
ahmansour91061,الدفاع الروسية: موسكو وواشنطن اقتربتا من التوصل لاتفاق بشأن العمليات الجوية فوق سوريا  http://t.co/f53tLGCCMi http://t.co/BG0obSyWOZ,Iraq,Arabic,2015-10-15 10:58:00,2015-10-15 10:58:00,6,4,7,R,1
ahmansour91061,Palestinians Torch Jewish Holy Site in West Bank http://t.co/KbS9F6Wjge,Iraq,English,2015-10-16 09:10:00,2015-10-16 09:10:00,6,3,13,R,1
ahmansour91061,"#Steinmeier für ""Roadmap zur Beendigung des Krieges"" in #Syrien => http://t.co/8t6G0xANmx",Iraq,German,2015-10-16 09:19:00,2015-10-16 09:19:00,6,3,14,R,1
ahmansour91061,"Army launches operation in southern direction of Aleppo city, gaining ground already http://t.co/ZmQequ0ZCu",Iraq,English,2015-10-16 10:25:00,2015-10-16 10:25:00,6,3,15,R,1
ahmansour91061,"Putin: 7,000 people from ex-Soviet republics estimated to fight alongside ISIS — RT News https://t.co/4fn3MhcpQ3",Iraq,English,2015-10-16 14:19:00,2015-10-16 14:19:00,6,3,19,R,1
ahmansour91061,#Syrien-Konflikt - Steinmeier zu Besuch bei #Assads iranischen Freunden http://t.co/8fFArtPg64,Iraq,German,2015-10-17 08:45:00,2015-10-17 08:45:00,6,3,20,R,1
ahmansour91061,Warplanes of US-led alliance attack power plant in Aleppo http://t.co/NlHl1SJt27,Iraq,English,2015-10-19 06:20:00,2015-10-19 06:20:00,6,2,21,R,1
ahmansour91061,Syria conflict: Air strikes 'kill 40 IS militants' http://t.co/haIF1ujvbK,Iraq,English,2015-10-19 06:34:00,2015-10-19 06:35:00,6,2,23,R,1
ahmansour91061,William Hague is mistaken: Syrian safe havens are essential http://t.co/SELwnYWka0,Iraq,English,2015-10-19 12:57:00,2015-10-19 12:57:00,6,2,27,R,1
ahmansour91061,Report Finds Global Islamic State Attacks Spike in 3rd Quarter https://t.co/n895qCkc94,Iraq,English,2015-10-22 08:19:00,2015-10-22 08:19:00,6,3,28,R,1
ahmansour91061,The army establishes control over Kafr Obeid village in Aleppo https://t.co/BjdA80zV09,Iraq,English,2015-10-22 12:56:00,2015-10-22 12:56:00,6,3,29,R,1
ahmansour91061,#Lawrow: #Syrien-Regelung unter Ausschluss des #Iran aussichtslos https://t.co/zj9NxAIDLn via @de_sputnik,Iraq,German,2015-10-22 13:07:00,2015-10-22 13:07:00,6,3,30,R,1
ahmansour91061,#Syrien - #USA schließen #Flugverbotszonen nicht mehr aus https://t.co/PCwJGgf3uk,Iraq,German,2015-10-23 10:23:00,2015-10-23 10:23:00,6,3,32,R,1
ahmansour91061,Two more villages in Aleppo in the army’s hands https://t.co/JR00tyciFO,Iraq,English,2015-10-23 10:23:00,2015-10-23 10:23:00,6,3,31,R,1
ahmansour91061,"Kerry, Lavrov to Seek Political Answers for Syria https://t.co/LJs4NmAF1j",Iraq,English,2015-10-23 10:27:00,2015-10-23 10:28:00,6,3,33,R,1
